core,depth_m,age_calBP,CO2_blank_corrected,CO2_blank_gravity_corrected,CO2_se_1sigma,notes
wais,2233.26,14290.99,247.87,246.53,1.43,MBB2014
wais,2234.25,14301.33,247.91,246.57,1.76,MBB2014
wais,2236.24,14322.34,246.24,244.91,0.35,MBB2014
wais,2238.22,14343.24,243.89,242.57,0.77,MBB2014
wais,2241.24,14376.08,247.37,246.03,2.25,MBB2014
wais,2243.36,14398.75,246.46,245.12,1.26,MBB2014
wais,2244.24,14408.16,248.48,247.13,0.81,MBB2014
wais,2245.24,14419.27,241.1,239.79,0.56,MBB2014
wais,2246.25,14430.42,247.03,245.69,0.42,MBB2014
wais,2247.25,14441.36,245.15,243.82,1.46,MBB2014
wais,2248.3,14452.9,245.05,243.73,1.74,MBB2014
wais,2249.24,14463.23,243.24,241.93,1.14,MBB2014
wais,2250.25,14474.12,240.57,239.27,0.61,MBB2014
wais,2251.24,14484.84,242.86,241.55,0.85,MBB2014
wais,2252.25,14495.95,243.25,241.93,0.76,MBB2014
wais,2253.26,14507.25,245.41,244.08,1.12,MBB2014
wais,2254.74,14524.08,243.39,242.08,0.6,MBB2014
wais,2255.25,14529.78,239.88,238.58,0.39,MBB2014
wais,2256.25,14540.96,238.67,237.38,0.29,MBB2014
wais,2257.2,14551.65,239.59,238.3,1.04,MBB2014
wais,2258.18,14562.77,242.77,241.45,0.29,MBB2014
wais,2259.24,14574.96,234.13,232.87,0.44,MBB2014
wais,2260.24,14586.19,233.4,232.14,0.77,MBB2014
wais,2261.24,14597.39,235.77,234.49,1.1,MBB2014
wais,2262.24,14608.74,239.8,238.5,1.23,MBB2014
wais,2263.36,14621.23,236.74,235.46,1.1,MBB2014
wais,2264.78,14636.85,233.13,231.86,0.75,MBB2014
wais,2265.25,14642.22,229.85,228.6,0.78,MBB2014
wais,2266.25,14653.63,232.61,231.35,1.12,MBB2014
wais,2267.25,14666.17,233.01,231.75,0.23,MBB2014
wais,2268.25,14677.88,233.73,232.46,1.02,MBB2014
wais,2269.31,14689.12,232.8,231.54,0.43,MBB2014
wais,2270.24,14700.22,231.72,230.47,0.7,MBB2014
wais,2271.33,14713.61,233.63,232.36,0.01,MBB2014
wais,2272.24,14723.94,233.1,231.83,0.41,MBB2014
wais,2273.28,14735.97,238.44,237.15,1.47,MBB2014
wais,2274.24,14747.31,237.47,236.18,0.59,MBB2014
wais,2275.24,14759.67,233.07,231.81,1.11,MBB2014
wais,2276.24,14771.84,235.87,234.59,1.24,MBB2014
wais,2277.24,14783.43,233.94,232.68,0.54,MBB2014
wais,2278.24,14795.28,233.58,232.32,0.53,MBB2014
wais,2279.26,14807.53,233.7,232.43,0.34,MBB2014
wais,2281.35,14832.66,234.12,232.85,1.23,MBB2014
wais,2283.37,14856.27,235.02,233.75,2.09,MBB2014
wais,2284.23,14866.48,232.87,231.61,1.22,MBB2014
wais,2286.23,14890.83,233.59,232.33,1.02,MBB2014
wais,2288.23,14915.44,230.59,229.34,0.84,MBB2014
wais,2291.33,14953.54,234.22,232.96,0.24,MBB2014
wais,2293.26,14976.86,239.73,238.44,0.02,MBB2014
wais,2296.26,15012.98,234.9,233.63,0.63,MBB2014
wais,2298.23,15036.74,234.03,232.77,0.89,MBB2014
wais,2300.23,15060.39,233.07,231.8,1.04,MBB2014
wais,2303.34,15097.73,235.43,234.16,0.33,MBB2014
wais,2305.23,15121.17,233.49,232.23,1.21,MBB2014
wais,2308.23,15157.34,230.98,229.73,0.92,MBB2014
wais,2311.25,15194.9,232.86,231.6,1.42,MBB2014
wais,2313.25,15219.61,234.14,232.88,0.96,MBB2014
wais,2316.23,15256.44,230.6,229.35,1.57,MBB2014
wais,2318.23,15282.57,229.95,228.7,0.75,MBB2014
wais,2322.25,15335.18,228.47,227.23,1.38,MBB2014
wais,2328.25,15417.16,228.73,227.49,0.35,MBB2014
wais,2335.28,15516.49,227.95,226.72,1.37,MBB2014
wais,2339.24,15575.07,227.35,226.12,0.57,MBB2014
wais,2343.36,15635.56,230.06,228.82,1.87,MBB2014
wais,2348.23,15710.55,227.56,226.33,0.44,MBB2014
wais,2353.25,15787.29,228.71,227.47,0.65,MBB2014
wais,2354.24,15802.34,228.97,227.73,0.64,MBB2014
wais,2358,15860.61,228.92,227.68,2.06,MBB2014
wais,2358.23,15864.35,229.61,228.37,NaN,MBB2014
wais,2359.23,15879.66,227.59,226.35,0.18,MBB2014
wais,2360.24,15895.09,229.68,228.44,0.89,MBB2014
wais,2363.34,15945.8,229.44,228.2,1.43,MBB2014
wais,2365.23,15978.2,227.6,226.37,0.82,MBB2014
wais,2367.24,16013.34,230.07,228.82,1.31,MBB2014
wais,2368.24,16031.72,231.4,230.15,1.02,MBB2014
wais,2369.23,16049.4,226.68,225.45,0.07,MBB2014
wais,2370.43,16070.33,232.54,231.29,1.18,MBB2014
wais,2371.24,16084.57,228.43,227.2,1.21,MBB2014
wais,2372.24,16102.87,225.67,224.45,0.55,MBB2014
wais,2373.26,16122.52,223.74,222.52,1.06,MBB2014
wais,2374.24,16140.32,219.37,218.18,0.97,MBB2014
wais,2375.24,16158.66,217.98,216.8,0.59,MBB2014
wais,2376.24,16177.37,219.75,218.56,0.75,MBB2014
wais,2377.24,16197.29,217.57,216.39,0.6,MBB2014
wais,2378.24,16217.38,219.98,218.79,1.19,MBB2014
wais,2379.24,16237.15,216.35,215.17,1.2,MBB2014
wais,2380.23,16255.71,214.63,213.47,0.5,MBB2014
wais,2381.24,16274.64,218.09,216.91,0.82,MBB2014
wais,2382.25,16294.57,216.93,215.75,0.94,MBB2014
wais,2383.57,16318.83,222.35,221.15,1.81,MBB2014
wais,2384.25,16332.53,219.08,217.9,0.28,MBB2014
wais,2386.25,16372.45,213.06,211.91,1.11,MBB2014
wais,2388.25,16411.83,213.77,212.61,0.12,MBB2014
wais,2390.2,16450.8,213.58,212.42,0.52,MBB2014
wais,2393.49,16515.99,218.3,217.12,0.84,MBB2014
wais,2397.26,16593.82,215.38,214.21,0.81,MBB2014
wais,2400.2,16654.2,210.63,209.49,1.1,MBB2014
wais,2403.56,16727.23,210.32,209.19,0.96,MBB2014
wais,2406.25,16788.95,208.02,206.89,0.86,MBB2014
wais,2409.16,16854.57,209.42,208.29,1.05,MBB2014
wais,2413.3,16951.45,207.18,206.06,1.3,MBB2014
wais,2416.26,17024.21,203.69,202.59,0.78,MBB2014
wais,2419.27,17099.38,203.36,202.25,0.5,MBB2014
wais,2421.27,17148.6,200.92,199.84,0.36,MBB2014
wais,2422.27,17172.76,199.69,198.61,0.91,MBB2014
wais,2424.26,17222.46,195.52,194.46,0.39,MBB2014
wais,2425.27,17248.11,198.05,196.98,0.27,MBB2014
wais,2426.26,17272.05,196.91,195.85,0.47,MBB2014
