"","depth_core","median_age","Delitschia","Sporormiella","Podospora","Sordaria","Lycopodium","Tracer_Added","OCFS_total","OCFS_conc","total_counted","best_estimate","Q2.5","Q5","Q25","Q50","Q75","Q95","Q97.5"
"51",907,33425,8,13,1,5,198,41696,27,5685.81818181818,225,5685.81818181819,4238.920446584,4404.3531680109,5013.39338240586,6018.02105885418,6484.46178029617,7100.057726184,7397.32154255961
"52",923,34189,6,15,2,5,171,41696,28,6827.41520467836,199,6827.41520467836,4692.44396443206,4851.30470491541,5920.83090941887,6898.78283228958,8124.20463217981,10336.2662510012,10739.7254478538
"53",931,34549.5,2,9,1,3,195,41696,15,3207.38461538462,210,3207.38461538461,1704.93864494995,1797.58934483682,2918.6591061072,3241.59364175959,3727.36431341688,4836.37151327077,5012.30592306247
"54",947,35278,1,7,0,1,60,41696,9,6254.4,69,6254.40000000001,3478.62817050086,3752.62986051561,5352.61035621329,6493.91968009528,8737.193094305,12165.2962355771,15021.6005430764
"55",963,36008,6,13,5,0,81,41696,24,12354.3703703704,105,12354.3703703704,7645.44595903717,8486.41217263788,10766.7704683472,12349.6273959184,15033.7511653954,18865.0138724323,19890.7765619801
"56",979,36751.5,14,19,7,2,103,41696,42,17002.2524271845,145,17002.2524271845,12190.0720007042,12745.0221889456,15549.6183076135,17662.8128210369,19859.8564379781,24104.071599195,24987.4524770818
"57",1011,38232,1,1,1,0,52,41696,3,2405.53846153846,55,2405.53846153846,879.182197657879,1185.999166389,2375.18260428566,3293.33297459409,4380.1928394218,6611.35589716583,7696.11795692239
"58",1027,39023.5,2,4,1,1,144,41696,8,2316.44444444444,152,2316.44444444445,1175.58380689008,1400.94494507208,2193.48725350475,2829.5137777318,3470.45744238392,4960.32141423189,5474.75391072159
"59",1035,39454,2,2,2,2,111,14285,8,1029.54954954955,119,1029.54954954955,646.098177565786,720.293846673216,1026.11947058956,1187.62048763107,1499.57194430288,1861.66965673468,2098.89924530365
"60",1051,40116,3,5,1,0,56,14285,9,2295.80357142857,65,2295.80357142857,1438.83603286045,1551.81813782081,1903.04885288409,2377.38110522856,3078.72593374515,4338.97875901556,4955.62659354665
"61",1067,40744,0,6,4,0,193,14285,10,740.155440414508,203,740.155440414507,381.025837822526,419.763782930211,554.04045693262,759.16182581149,938.932647725567,1197.13924671913,1220.04192069976
"62",1082,41705,2,5,0,1,108,14285,8,1058.14814814815,116,1058.14814814815,616.73242210527,652.821726088878,917.783338332782,1215.74930471834,1524.72737476509,1951.18136643665,2492.16829976323
"63",1116,43235,1,6,2,3,48,14285,12,3571.25,60,3571.25,2030.16122950707,2273.76598869916,3113.10404676944,3913.27535787597,4802.49807596672,6243.98023524787,6821.89204730233
"64",1132,43926,1,1,0,2,37,14285,4,1544.32432432432,41,1544.32432432432,661.308025485137,751.506193688605,1227.55119465524,1878.78993116552,2625.80095167737,3922.75758782122,4111.79947494681
"65",1147,44541.5,3,12,0,0,67,14285,15,3198.13432835821,82,3198.13432835821,1901.71783043227,1997.77338924863,2680.34440435888,3397.58423796471,4111.26377795264,4932.87627014767,5212.40299452297
"66",1163,45271,2,7,1,3,66,14285,13,2813.71212121212,79,2813.71212121212,1552.69844892895,1872.60890791775,2402.63567462121,3007.98536888743,3555.86014116998,4739.78964776499,4918.2057092936
"67",1195,46728.5,0,10,1,0,161,14285,11,975.993788819876,172,975.993788819876,575.934259886783,701.871198030049,888.761016604258,1072.77060569916,1284.08315256285,1595.25217307573,1752.67510104519
"68",1213,47584,2,10,6,5,84,14285,23,3911.36904761905,107,3911.36904761905,2571.67954262076,2649.04929841887,3470.94033700973,4132.62047708826,4759.03196989093,5859.73125033136,5962.04439260512
"69",1229,48217.5,0,2,0,0,83,14285,2,344.21686746988,85,344.216867469881,105.329522200057,165.540486106335,292.128287830797,389.896160544944,711.924155222194,1221.57255638832,1546.49759716094
"70",1243,48953.5,1,3,1,0,65,14285,5,1098.84615384615,70,1098.84615384615,447.191867363139,577.100185887876,914.702630855318,1246.62580846925,1609.61667068803,2037.94607263967,2304.98672674326
"71",1259,49593.5,0,6,2,2,93,14285,10,1536.02150537634,103,1536.02150537634,845.738465791312,930.101103164768,1317.8690505845,1657.39713110379,2165.45222088054,2652.77694151313,2746.97205572159
"72",1275,50369,1,7,0,0,56,14285,8,2040.71428571429,64,2040.71428571428,958.161922446115,1113.02582053619,1660.84245878767,2338.57850761176,2876.20871335786,3733.97079562324,3904.46287841015
"73",1291,51689.5,1,3,1,1,81,14285,6,1058.14814814815,87,1058.14814814815,717.371127429698,765.898547660932,923.747036004905,1155.08075392619,1532.97968724486,2226.36693890998,2294.37888345052
"74",1307,52555,1,2,0,0,59,14285,3,726.35593220339,62,726.355932203388,267.079797088075,376.572988257464,611.427838676143,869.599329424091,1293.68306691712,1897.89301199242,2109.71384032597
"75",1323,53455.5,2,7,0,1,46,14285,10,3105.4347826087,56,3105.4347826087,1723.31958561455,1822.50835370424,2824.47007169889,3482.45295005268,4470.47350545239,5775.88829287619,6029.1912003475
"76",1331,53890.5,6,12,3,2,194,14285,23,1693.5824742268,217,1693.5824742268,1150.24271323755,1211.60213478282,1532.7209029533,1776.22391355038,2018.29437361285,2543.88063833937,2710.141027027
"77",1363,55790.5,0,0,0,0,94,14285,0,0,94,NA,NA,NA,NA,NA,NA,NA,NA
"78",1379,56749.5,2,0,0,1,114,14285,3,375.921052631579,117,375.92105263158,192.274987571628,212.563968491089,318.83158606186,472.404167514993,699.100448013982,914.307429951755,995.453207048401
"79",1411,58625,1,1,0,0,69,14285,2,414.057971014493,71,414.057971014491,100.34425690028,150.21259613568,383.148653287208,503.962607792346,670.617362535268,1219.12478167505,1309.77988918166
"80",1433,59981,0,1,1,1,77,14285,3,556.558441558442,80,556.55844155844,251.100864771567,303.528069663979,534.950277766213,709.416467561387,871.270781441126,1270.04218862513,1364.89298162307
"81",1451,60653,0,9,2,1,68,14285,12,2520.88235294118,80,2520.88235294118,1284.21248062765,1434.81792638714,2142.43219047925,2662.3003100669,3267.92282142013,3913.44440899563,4218.90632436413
"82",1467,61214.5,1,5,1,0,89,14285,7,1123.5393258427,96,1123.5393258427,727.288337728009,836.888241703855,1011.46397204837,1329.40398822539,1711.20415321318,2381.82832291676,2404.23018779664
"83",1483,61796.5,0,1,0,0,81,14285,1,176.358024691358,82,176.358024691359,68.4355408389471,68.9787072610576,188.99533442629,307.039329902967,444.463918941794,717.426386178727,803.201956256397
"84",1499,62403,0,2,1,0,97,14285,3,441.80412371134,100,441.804123711342,198.196755652083,202.742395945825,396.013412282104,521.485349205788,765.574185025413,1064.44454429857,1203.85804344824
"85",1515,62991,0,1,0,0,60,14285,1,238.083333333333,61,238.083333333332,74.5568104349659,106.618458984711,297.692246712686,458.586388545809,718.154190216155,1117.64179424592,1279.83604788769
"86",1547,64165.5,0,2,0,2,88,14285,4,649.318181818182,92,649.318181818181,310.791163869435,388.645157457027,522.107953812112,721.536838696804,1030.88468696002,1614.65906720799,1847.35718046443
"87",1563,64719.5,0,0,0,2,68,14285,2,420.147058823529,70,420.147058823531,169.915086148091,183.449402672774,370.61221972917,599.632497695158,841.074378790741,1195.79174834533,1217.4764042209
