"","ngroups","topic","taxa","beta"
"141",4,"1","Rhamnaceae.undiff.",1.23694962615853e-34
"142",4,"1","Juglans.nigra.type",2.79587291454539e-05
"143",4,"1","Shepherdia.canadensis",2.19172791309888e-17
"144",4,"1","Trifolium.repens.type",5.91935548463777e-44
"145",4,"1","Brassica",2.89351790601061e-35
"146",4,"1","Galium",6.46762942502218e-09
"147",4,"1","Euphorbia",8.41822647548159e-05
"148",4,"1","Solanum.rostratum",8.80209240651918e-05
"149",4,"1","Rutaceae.undiff.",1.72290692827273e-19
"150",4,"1","Cedrus",8.6818370536992e-20
"151",4,"1","Engelhardia.type",9.25017554256652e-09
"152",4,"1","Moraceae.undiff.",2.16791141997726e-14
"153",4,"1","Cistaceae",1.72697715507202e-12
"154",4,"2","Alnus.incana.type",0.00202406786137879
"155",4,"2","Cyrilla.racemiflora",4.95710749556352e-06
"156",4,"2","Fraxinus.undiff.",0.000217805571279916
"157",4,"2","Nyssa",0.000144404089627094
"158",4,"2","Asteroideae.undiff.",0.0974603720625359
"159",4,"2","Iva.frutescens.type",0.0173126247128768
"160",4,"2","Byrsonima",3.34962288607696e-45
"161",4,"2","Carya",0.0635534071138307
"162",4,"2","Taxodium",0.000110761324357705
"163",4,"2","Xyris",0.000865993908308795
"164",4,"2","Amaranthaceae.undiff.",0.0963695093009136
"165",4,"2","Myrica",0.00611217067660439
"166",4,"2","Cupressaceae.undiff.",0.0608310026972856
"167",4,"2","Cyperaceae",0.0382347252632826
"168",4,"2","Ambrosia.type",0.346574193343795
"169",4,"2","Pinus",0.0130725046635101
"170",4,"2","Quercus",0.0502071522430767
"171",4,"2","Poaceae",0.0903799190784011
"172",4,"2","Acer.saccharum.type",1.97132399813918e-06
"173",4,"2","Ostrya.Carpinus",0.0111280088135627
"174",4,"2","Ulmus",0.00780390856992661
"175",4,"2","Vitis",0.00182005336083166
"176",4,"2","Rhexia.type",3.11675942027079e-05
"177",4,"2","Podocarpus",3.90929012627616e-06
"178",4,"2","Polygonum.polygamum.type",0.022324845521306
"179",4,"2","Betula",0.000480303683860466
"180",4,"2","Celtis",0.000587524053604557
"181",4,"2","Cephalanthus",0.000212865116400328
"182",4,"2","Polygonum.delopyrum.type",0.000651010048720601
"183",4,"2","Ericaceae",0.00654850687542021
"184",4,"2","Artemisia",0.000872865504435678
"185",4,"2","Liquidambar",0.00274536129004566
"186",4,"2","mimosoid.clade",0.000318646605624685
"187",4,"2","Polygonum.fimbriatum.type",0.00688158879876427
"188",4,"2","Rhus",3.23205808201004e-10
"189",4,"2","Urticaceae.undiff.",2.63394460326981e-05
"190",4,"2","Populus",3.80106191483125e-13
"191",4,"2","Chamaecyparis.type",3.95299858440693e-05
"192",4,"2","Apiaceae",0.00168685331753484
"193",4,"2","Salix",6.20697573674753e-05
"194",4,"2","Tilia",0.000438939550064716
"195",4,"2","Chamaecrista.type",2.22334919400912e-09
"196",4,"2","Paronychia.chartacea",0.0021330573051431
"197",4,"2","Urtica.type",0.000471809364195881
"198",4,"2","Trema",0.00010249626654141
"199",4,"2","Acer.rubrum",0.000188530939835231
"200",4,"2","Gordonia",8.54988212077517e-05
"201",4,"2","Chamaecrista.fasciculata.type",0.000225177422802968
"202",4,"2","Ranunculaceae.undiff.",0.000137419043160157
"203",4,"2","Ilex",0.00492586441470451
"204",4,"2","Morus",1.33840650553211e-15
"205",4,"2","Tillandsia",1.0475989193118e-43
"206",4,"2","Ceratiola.ericoides.type",0.000302187842097184
"207",4,"2","Combretaceae.Melastomataceae.undiff.",1.25080713852413e-40
"208",4,"2","Acalypha.type",1.51100565177617e-110
"209",4,"2","cf..Araliaceae",6.43412184511976e-19
"210",4,"2","Urticalean.Rosids.undiff.",0.000567474986920382
"211",4,"2","Fabaceae.undiff.",8.24614953445416e-05
"212",4,"2","Lechea",0.00160260458447664
