"","sample","age","1","2","3","4"
"76",76,15681.5,0.00770746089063154,0.135336870794202,0.603302220688062,0.253653447627105
"77",77,15850.5,0.0134651398761138,0.119360198932514,0.656564250346764,0.210610410844609
"78",78,16009.5,0.0110281234712198,0.00602082292230306,0.263266951503394,0.719684102103083
"79",79,16172,0.00998639430944043,0.30207612835055,0.401330471087692,0.286607006252317
"80",80,16464,0.0126611163257954,0.468223906460719,0.0446206027832968,0.474494374430189
"81",81,16774.5,0.016294899482187,0.491917912631453,0.0055192872088117,0.486267900677548
"82",82,17103.5,0.067357346028179,0.530101283638165,0.0430395269739171,0.359501843359739
"83",83,17351,0.0268868328289563,0.607803088010593,0.0365489307797089,0.328761148380742
"84",84,17598.5,0.0659182424927757,0.588147625968377,0.0603810441336283,0.285553087405219
"85",85,17833,0.123077703035371,0.55306222948757,0.024078964793078,0.299781102683981
"86",86,18075.5,0.0295271095856118,0.584308770349931,0.0906899131093413,0.295474206955116
"87",87,18314,0.0951607964226118,0.574219064642388,0.0504501475269456,0.280169991408054
"88",88,18572.5,0.087092750587904,0.545077690006629,0.0285941388880563,0.33923542051741
"89",89,18859,0.0884745115648915,0.593164706827047,0.023626160509548,0.294734621098513
"90",90,20546.5,0.0534441822529542,0.443112572521269,0.317982358205788,0.185460887019989
"91",91,20595,0.0495151060837571,0.455923851912308,0.366264270590518,0.128296771413416
"92",92,20632,0.0478942899701512,0.446236877246305,0.291720667689895,0.214148165093648
"93",93,20673,0.0485387940990506,0.615561888120039,0.190073074979091,0.14582624280182
"94",94,20737,0.0589504762138113,0.478252506110967,0.165138258045765,0.297658759629456
"95",95,20862,0.062316067576325,0.526602285464982,0.0973194069701865,0.313762239988506
"96",96,20967.5,0.122009254454284,0.542163029619656,0.0640707664036154,0.271756949522444
"97",97,21065.5,0.044235306230434,0.699650751612002,0.0358740777354695,0.220239864422095
"98",98,21192.5,0.151103063664854,0.647745131670063,0.0532957730511304,0.147856031613952
"99",99,21629,0.0767193316179744,0.712473510054201,0.0597102870310367,0.151096871296788
"100",100,21732.5,0.0152243614366145,0.77554108675161,0.0295882132724622,0.179646338539313
"101",101,21785.5,0.0268357690753972,0.674241929928981,0.0583828188176397,0.240539482177982
"102",102,21841,0.0356189761353662,0.640529005125846,0.0422876601580921,0.281564358580696
"103",103,21936.5,0.0376281492378146,0.637569845897467,0.0267881978836346,0.298013806981084
"104",104,22047.5,0.0193598417164508,0.624314304192475,0.0604531407790084,0.295872713312065
"105",105,22153,0.0637461868666173,0.503870612529163,0.228047231704957,0.204335968899263
"106",106,22303,0.0295970501456869,0.420976572844706,0.349459328236602,0.199967048773005
"107",107,23136,0.0540643320032573,0.351774158297882,0.459965426138676,0.134196083560185
"108",108,23386.5,0.0334550978305597,0.326437846150911,0.497687059045705,0.142419996972824
"109",109,23444,0.0570360939579345,0.334119559075983,0.481219644221904,0.127624702744179
"110",110,23518.5,0.0153164367216926,0.273999125873843,0.65357009743264,0.0571143399718247
"111",111,23728,0.0382192869877414,0.290296406497761,0.576118712929804,0.0953655935846927
"112",112,24387,0.0194293146563105,0.209957226522075,0.671245184270682,0.0993682745509319
"113",113,24729,0.0546443362746334,0.316009587024588,0.560281753864807,0.069064322835971
"114",114,25033,0.0189602895765729,0.303072592659865,0.613766934050126,0.0642001837134367
"115",115,25374.5,0.0263764863481401,0.241198296930962,0.667881467434038,0.06454374928686
"116",116,25759.5,0.0494918825264798,0.419151718116758,0.472251984219872,0.0591044151368906
"117",117,26165,0.0931682126700013,0.592694179110053,0.16361240791845,0.150525200301496
"118",118,26427,0.0689759130235539,0.719586913217065,0.057968100255457,0.153469073503924
"119",119,26682,0.106262687072022,0.642574337934089,0.151917361253353,0.0992456137405364
"120",120,26940,0.123207583144284,0.712548867906162,0.0553121141696388,0.108931434779915
"121",121,27231,0.116984776482346,0.590362948434663,0.161668887778074,0.130983387304917
"122",122,27465,0.07614161735074,0.632559786641993,0.171036737904254,0.120261858103013
"123",123,27669,0.0260978368475325,0.741885489549064,0.0668513537454936,0.16516531985791
"124",124,28053,0.12306007332913,0.666022788898439,0.0701773231950049,0.140739814577426
"125",125,28343,0.239434341324616,0.543127429722211,0.0610392513721038,0.156398977581069
"126",126,28607.5,0.11856128620871,0.579223586197028,0.135019398246253,0.16719572934801
"127",127,28888,0.116503414561392,0.430858915959283,0.338113775113068,0.114523894366257
