"","age_center","char500"
"208",20950,2.90825522935106
"209",21050,3.08495955901682
"210",21150,3.24193280278071
"211",21250,2.9502580796568
"212",21350,3.5101890045977
"213",21450,4.56629385621282
"214",21550,5.63680542421725
"215",21650,6.86553243918125
"216",21750,7.58485024598377
"217",21850,7.58380301865527
"218",21950,7.6450594823625
"219",22050,7.25930027485991
"220",22150,6.3463280911447
"221",22250,5.00592533744208
"222",22350,4.58196929603303
"223",22450,4.12482971227804
"224",22550,4.58082971227804
"225",22650,4.73237866792144
"226",22750,4.99747598612616
"227",22850,4.14731301350556
"228",22950,3.42893064844244
"229",23050,2.75996049918871
"230",23150,1.76672146380587
"231",23250,1.63879609917764
"232",23350,1.71983838689368
"233",23450,1.23616509521731
"234",23550,1.19968084977784
"235",23650,1.20758808922101
