"","core","depth_core","pctOrg","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate"
"145","4A",332,40.74889868,"1B",141,469,12895,12706.9,13082.1,39
"146","4A",333,38.01576263,"1B",142,470,12954,12738.95,13180.05,59
"147","4A",344,28.66607774,"2B",3,481,13234,12926,13597.25,24
"148","4A",345,28.32778702,"2B",4,482,13257.5,12935.95,13617.15,23.5
"149","4A",346,29.79238754,"2B",5,483,13276.5,12947,13635.15,19
"150","4A",347,29.2503864,"2B",6,484,13297,12963.95,13654.05,20.5
"151","4A",349,29.24901186,"2B",8,486,13338.5,12990.9,13687.05,20
"152","4A",350,27.64730119,"2B",9,487,13361,13000,13710.05,22.5
"153","4A",351,28.74845105,"2B",10,488,13382,13027.95,13738.05,21
"154","4A",352,27.14730752,"2B",11,489,13405,13047.85,13753.1,23
"155","4A",353,23.52716144,"2B",12,490,13433,13059,13774.05,28
"156","4A",354,22.81770199,"2B",13,491,13459,13083,13787.15,26
"157","4A",355,21.98784412,"2B",14,492,13482.5,13105,13809.1,23.5
"158","4A",356,23.65376945,"2B",15,493,13500,13132,13824,17.5
"159","4A",357,24.76021314,"2B",16,494,13520.5,13144,13838,20.5
"160","4A",358,24.57446809,"2B",17,495,13543,13165.8,13847.05,22.5
"161","4A",359,27.30375427,"2B",18,496,13569.5,13190.85,13858.05,26.5
"162","4A",360,28.55822551,"2B",19,497,13594,13213.95,13872.05,24.5
"163","4A",361,28.07017544,"2B",20,498,13615,13232.95,13887,21
"164","4A",362,26.49239173,"2B",21,499,13634.5,13254.9,13902,19.5
"165","4A",363,29.4143167,"2B",22,500,13655,13279.95,13915.05,20.5
"166","4A",364,34.15398389,"2B",23,501,13676.5,13324.95,13930.1,21.5
"167","4A",365,34.72285845,"2B",24,502,13699,13363.95,13945,22.5
"168","4A",366,33.68674699,"2B",25,503,13724,13390,13956.1,25
"169","4A",367,28.02779616,"2B",26,504,13746.5,13417.95,13971,22.5
"170","4A",368,31.09525808,"2B",27,505,13772.5,13453,13992,26
"171","4A",369,28.01587302,"2B",28,506,13796,13478.95,14006.15,23.5
"172","4A",370,32.2467986,"2B",29,507,13822,13538.6,14029,26
"173","4A",371,35.50561798,"2B",30,508,13852.5,13591.8,14048.05,30.5
"174","4A",372,36.21713316,"2B",31,509,13885,13665.9,14073.05,32.5
"175","4A",373,33.06155728,"2B",32,510,13935.5,13751.95,14120.05,50.5
"176","4A",374,32.3542306,"2B",33,511,13986,13795,14201.05,50.5
"177","4A",375,32.23214286,"2B",34,512,14017,13827.8,14249,31
"178","4A",376,31.84713376,"2B",35,513,14049,13853.95,14294,32
"179","4A",377,30.94555874,"2B",36,514,14077.5,13872,14323.1,28.5
"180","4A",378,31.8975553,"2B",37,515,14106,13890.95,14349.05,28.5
"181","4A",379,31.36992414,"2B",38,516,14130.5,13906.9,14379.05,24.5
"182","4A",380,32.35527359,"2B",39,517,14151,13920.95,14407.1,20.5
"183","4A",381,30.29808085,"2B",40,518,14178,13940,14438.1,27
"184","4A",382,30.49978642,"2B",41,519,14203,13961,14475.15,25
"185","4A",383,27.56559283,"2B",42,520,14227,13978,14507.15,24
"186","4A",384,27.40458015,"2B",43,521,14253,13991,14553,26
"187","4A",385,31.98090692,"2B",44,522,14277.5,14007.95,14582,24.5
"188","4A",386,31.47810219,"2B",45,523,14302,14026.9,14611.05,24.5
"189","4A",387,40.40066778,"2B",46,524,14344.5,14052.95,14654.15,42.5
"190","4A",388,39.74181651,"2B",47,525,14396,14092.9,14717.05,51.5
"191","4A",389,36.46464646,"2B",48,526,14460.5,14162.95,14775.05,64.5
"192","4A",390,28.85208012,"2B",49,527,14504,14208.9,14809.15,43.5
"193","4A",391,27.18828153,"2B",50,528,14543,14250.9,14839.15,39
"194","4A",392,25.12019231,"2B",51,529,14581,14287.95,14865.35,38
"195","4A",393,23.51118761,"2B",52,530,14611,14322.95,14892,30
"196","4A",394,24.10885397,"2B",53,531,14647,14360.9,14918.1,36
"197","4A",395,20.10495244,"2B",54,532,14681.5,14389.95,14949.05,34.5
"198","4A",396,17.04256093,"2B",55,533,14717,14421.95,14979.1,35.5
"199","4A",397,12.15787147,"2B",56,534,14760,14458.65,15023.05,43
"200","4A",401,14.45384332,"2B",60,538,14902.5,14621,15146,19
"201","4A",405,20.24505709,"2B",64,542,14967.5,14705.95,15194.25,15.5
"202","4A",409,22.42961088,"2B",68,546,15037.5,14780.95,15254.05,19.5
"203","4A",413,23.78143434,"2B",72,550,15120,14885.9,15324,25
"204","4A",417,21.65354331,"2B",76,554,15285,15051.9,15519.05,40.5
"205","4A",421,31.42076503,"2B",80,558,15443,15162.9,15724,39.5
"206","4A",425,27.55702723,"2B",84,562,15631,15337,15924.1,35
"207","4A",429,36.31739573,"2B",88,566,15785,15429.95,16089.05,40
"208","4A",433,34.29097606,"2B",92,570,15906,15578.75,16234.3,16.5
"209","4A",437,33.98379971,"2B",96,574,15979.5,15637.85,16310,16.5
"210","4A",441,34.27230047,"2B",100,578,16042,15700.9,16372.05,16.5000000000018
"211","4A",441,34.27230047,"3L",0,579,16063,15712.75,16389,20.9999999999964
"212","4A",445,38.66153105,"3L",4,583,16133,15780,16463.15,21.0000000000018
"213","4A",449,37.37802291,"3L",8,587,16235,15870.9,16596.5,29.5
"214","4A",453,31.75416133,"3L",12,591,16383,16015.85,16766.15,24.5
"215","4A",457,23.90852391,"3L",16,595,16470.5,16088,16844,21
"216","4A",461,16.74800925,"3L",20,599,16554,16168.9,16941.15,20
"217","4A",465,12.40574506,"3L",24,603,16621,16228,17018.1,16.5
"218","4A",469,12.00676437,"3L",28,607,16693.5,16288.95,17076.05,21
"219","4A",473,13.24200913,"3L",32,611,16764.5,16366.85,17123.05,17.5
"220","4A",477,12.63925461,"3L",36,615,16840,16452.7,17191.15,17
"221","4A",481,14.93521255,"3L",40,619,16920,16521.85,17228.05,18
"222","4A",485,17.17818503,"3L",44,623,16990,16596.85,17264.1,15
"223","4A",489,18.00214823,"3L",48,627,17064.5,16694.95,17298,18
"224","4A",501,22.99075889,"3L",60,639,17352,17168,17425.05,42
"225","4A",505,25.61085973,"3L",64,643,17600,17387.9,17911.05,75.5
"226","4A",509,21.40416278,"3L",68,647,17702,17463,18024.15,21
"227","4A",513,24.09061902,"3L",72,651,17764.5,17503.95,18094.15,16
"228","4A",517,19.29569267,"3L",76,655,17822,17544.9,18179,15
"229","4A",521,14.13461538,"3L",80,659,17880.5,17574.9,18231.05,20
"230","4A",541,18.29954955,"4L",0,679,18235,17795.85,18645,44.5
"231","4A",545,18.03030303,"4L",4,683,18352.5,17922.9,18720,19.5
"232","4A",549,13.52746038,"4L",8,687,18415,18004.9,18763.1,19
"233","4A",553,13.46371882,"4L",12,691,18477,18065.9,18803.2,13.5
"234","4A",557,14.14350113,"4L",16,695,18540.5,18136.5,18844,13
"235","4A",561,15.1827957,"4L",20,699,18604.5,18182.85,18891.15,17
"236","4A",565,18.44149909,"4L",24,703,18669,18279.65,18927.1,16
"237","4A",569,20.08486563,"4L",28,707,18731,18388.7,18965.05,15
"238","4A",573,22.8708134,"4L",32,711,18794,18500.95,19010.05,15
"239","4A",577,27.07681613,"4L",36,715,18901,18686.8,19099,40.5
"240","4A",581,25.73643411,"4L",40,719,19135.5,18837.95,19772,45
"241","4A",585,24.0491165,"4L",44,723,19302.5,18927,20104.55,37.5
"242","4A",589,19.68523002,"4L",48,727,19461.5,18991,20369.15,40
"243","4A",593,18.91891892,"4L",52,731,19642,19071.95,20577,42.5
"244","4A",597,18.89929742,"4L",56,735,19792.5,19169.9,20758.1,38
"245","4A",601,19.90728116,"4L",60,739,19957.5,19261.9,20897.15,33
"246","4A",605,19.07028843,"4L",64,743,20114,19369.5,21006.15,40
"247","4A",609,19.24001924,"4L",68,747,20270.5,19494.95,21140.1,43.5
"248","4A",613,21.39415355,"4L",72,751,20439,19614,21265.05,45
"249","4A",617,23.18168647,"4L",76,755,20586.5,19749.9,21379.3,35
"250","4A",621,23.57648507,"4L",80,759,20769.5,19958.8,21469,43.5
"251","4A",625,22.26666667,"4L",84,763,20953,20185.75,21579.1,50
