"","Lab No","Core","Drive","depth_core","Tracer Added","Lycopodium","Delitschia","Sporormiella","Ascobolus","Saccobolus","Podospora","Strattonia","Sordaria","Xylariaceae","Apiosordaria","Cercophora","Ascodesmis","Melanospora","Chaetomium","Coniochaeta","Gelasinospora","Total Count","Delitschia, Sporormiella, Podospora, Cercopohra, Sordaria","OCFS Concentration","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate"
"57",141,"4A","9L 74cm",1116,14285,48,1,6,0,1,2,0,3,5,0,0,0,0,11,11,4,92,12,3571.25,"9L",75,1254,43982,41715.75,46715.25,29
"58",143,"4A","9L 90cm",1132,14285,37,1,1,1,0,0,0,2,1,0,0,0,0,6,1,0,50,4,1544.32432432432,"9L",91,1270,44681,42420.8,47449.2,64
"59",67,"4A","10L 6cm",1147,14285,67,3,12,0,0,0,0,0,0,1,0,0,0,11,1,0,95,15,3198.13432835821,"10L",6,1285,45303,43026.05,47989.3,19.5
"60",204,"4A",NA,1163,14285,66,2,7,0,0,1,1,3,0,0,5,0,0,24,1,0,110,18,3895.90909090909,"10L",22,1301,45939,43637.75,48672.15,52
"61",205,"4A",NA,1195,14285,161,0,10,0,0,1,0,0,0,1,0,0,0,5,0,0,178,11,975.993788819876,"10L",54,1333,47290,44893.3,50188.4,51
"62",71,"4A","10L 70cm",1213,14285,84,2,10,0,0,6,0,5,2,2,2,0,0,9,0,1,123,25,4251.4880952381,"10L",72,1351,48029,45465.3,50933.6,56.5
"63",206,"4A",NA,1229,14285,83,0,2,0,1,0,0,0,1,0,1,0,0,1,2,0,91,3,516.325301204819,"10L",88,1367,48749,46301.85,51544.05,29
"64",207,"4A",NA,1243,14285,65,1,3,0,0,1,0,0,0,1,0,0,0,1,3,0,75,5,1098.84615384615,"11L",2,1381,49312.5,46983.9,52110.1,44
"65",210,"4A",NA,1259,14285,93,0,6,0,0,2,0,2,1,0,0,0,0,6,6,1,117,10,1536.02150537634,"11L",18,1397,50016,47738.8,52913.25,56.5
"66",75,"4A","11L 34cm",1275,14285,56,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,64,8,2040.71428571429,"11L",34,1413,50768,48426.75,53566.6,46.5
"67",211,"4A",NA,1291,14285,81,1,3,0,0,1,0,1,0,0,3,0,0,18,4,0,112,9,1587.22222222222,"11L",50,1429,51992.5,49699.65,54613.3,46
"68",212,"4A",NA,1307,14285,59,1,2,0,0,0,0,0,0,1,1,0,0,4,3,0,71,4,968.474576271186,"11L",66,1445,52877,50569.85,55346.4,65
"69",213,"4A",NA,1323,14285,46,2,7,0,0,0,0,1,0,0,0,0,0,5,0,0,61,10,3105.4347826087,"11L",82,1461,53841,51429.3,56175.7,41
"70",79,"4A","11L 90cm",1331,14285,194,6,12,0,0,3,0,2,0,0,1,0,0,0,6,1,225,24,1767.21649484536,"11L",90,1469,54345,51892,56471.65,90.5
"71",214,"4A",NA,1363,14285,94,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,97,0,0,"12L",22,1501,56122.5,53812.65,57989.6,51.5
"72",215,"4A",NA,1379,14285,114,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,117,3,375.921052631579,"12L",38,1517,56956.5,54807.6,58590.1,72
"73",216,"4A",NA,1411,14285,69,1,1,0,1,0,0,0,0,0,0,0,0,2,3,0,77,2,414.057971014493,"12L",70,1549,58746.5,57092.9,59501,48.5
"74",217,"4A",NA,1433,14285,77,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,81,3,556.558441558442,"12L",92,1571,60005.5,59725.95,60777.75,43.5
"75",80,"4A","13L 10cm",1451,14285,68,0,9,0,0,2,0,1,0,0,1,0,0,0,2,0,83,13,2730.95588235294,"13L",10,1589,60711.5,59941.85,62064,42.5
"76",218,"4A",NA,1467,14285,89,1,5,0,0,1,0,0,0,1,0,0,0,1,7,1,106,7,1123.5393258427,"13L",26,1605,61361,60217.65,62910.05,53
"77",219,"4A",NA,1483,14285,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,176.358024691358,"13L",42,1621,61977.5,60626.9,63746.95,40.5
"78",220,"4A",NA,1499,14285,97,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,101,3,441.80412371134,"13L",58,1637,62586.5,60980.75,64609.15,35.5
"79",84,"4A","13L 74cm",1515,14285,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,62,1,238.083333333333,"13L",74,1653,63232,61355.95,65371.4,34
"80",221,"4A",NA,1547,14285,88,0,2,0,0,0,0,2,0,0,2,0,0,5,0,0,99,6,973.977272727273,"14L",6,1685,64466.5,62234.15,67024.4,37.5
"81",222,"4A",NA,1563,14285,68,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,73,3,630.220588235294,"14L",22,1701,65098.5,62732.65,67618.1,52
